team_name,season_start_year,stat_group_name,stat_name,shots,goals,xG,against.shots,against.goals,against.xG,time
Eintracht Frankfurt,2018,shotZone,shotOboxTotal,126,4,4.471487753093243,160,8,5.180223426781595,NA
Eintracht Frankfurt,2018,shotZone,shotPenaltyArea,255,38,41.116627886891365,256,29,31.22898766770959,NA
Eintracht Frankfurt,2018,shotZone,shotSixYardBox,38,18,17.34187932126224,40,10,16.31228045001626,NA
Eintracht Frankfurt,2018,attackSpeed,Normal,235,30,32.368898772634566,294,30,34.373049069195986,NA
Eintracht Frankfurt,2018,attackSpeed,Standard,117,14,17.36823870241642,113,9,13.600540665909648,NA
Eintracht Frankfurt,2018,attackSpeed,Fast,48,14,11.840416857972741,37,7,4.5929743545129895,NA
Eintracht Frankfurt,2018,attackSpeed,Slow,19,2,1.3524406282231212,13,2,1.1549274548888206,NA
Eintracht Frankfurt,2018,result,BlockedShot,94,0,6.722983260639012,110,0,7.64011213183403,NA
Eintracht Frankfurt,2018,result,Goal,60,60,25.370938315987587,48,48,16.545409936457872,NA
Eintracht Frankfurt,2018,result,MissedShots,166,0,16.675940328277647,167,0,14.278923866339028,NA
Eintracht Frankfurt,2018,result,SavedShot,93,0,12.761282727122307,119,0,12.846575958654284,NA
Eintracht Frankfurt,2018,result,ShotOnPost,6,0,1.398850329220295,13,0,2.410469651222229,NA
Eintracht Frankfurt,2017,situation,OpenPlay,288,32,31.799897838849574,287,30,33.85363680263981,NA
Eintracht Frankfurt,2017,situation,FromCorner,62,6,4.936907636001706,58,7,3.0633196169510484,NA
Eintracht Frankfurt,2017,situation,SetPiece,25,5,3.6080698501318693,38,4,3.601109123788774,NA
Eintracht Frankfurt,2017,situation,DirectFreekick,11,0,0.6616902053356171,15,2,1.0162116922438145,NA
Eintracht Frankfurt,2017,situation,Penalty,2,2,1.5155539512634277,3,2,2.2733309268951416,NA
Eintracht Frankfurt,2017,formation,3-1-4-2,167,13,16.10619556903839,139,13,13.06107086269185,1124
Eintracht Frankfurt,2017,formation,3-4-1-2,77,11,11.483945869840682,98,11,11.498461204580963,747
Eintracht Frankfurt,2017,formation,3-4-2-1,57,10,7.307329608593136,52,9,6.575519028119743,467
Eintracht Frankfurt,2017,formation,4-2-3-1,47,5,4.817137319594622,62,8,8.808118470944464,463
Eintracht Frankfurt,2017,formation,3-4-3,40,6,2.807511114515364,50,4,3.8644385961815715,368
Eintracht Frankfurt,2017,gameState,Goal diff 0,153,23,19.932578434236348,153,21,17.813144801650196,1423
Eintracht Frankfurt,2017,gameState,Goal diff +1,89,7,9.673623935785145,128,9,12.024324931204319,798
Eintracht Frankfurt,2017,gameState,Goal diff -1,103,8,7.069159501232207,84,8,10.168525088578463,725
Eintracht Frankfurt,2017,gameState,Goal diff > +1,29,3,3.0675776032730937,31,3,2.1638139141723514,170
Eintracht Frankfurt,2017,gameState,Goal diff < -1,14,4,2.779180007055402,5,4,1.6377994269132614,54
Eintracht Frankfurt,2017,timing,1-15,52,7,5.912094566039741,58,5,6.966584203299135,NA
Eintracht Frankfurt,2017,timing,16-30,71,12,8.149120960384607,66,10,7.460158857516944,NA
Eintracht Frankfurt,2017,timing,31-45,57,5,7.345118680037558,62,2,5.968269591219723,NA
Eintracht Frankfurt,2017,timing,46-60,64,3,6.280279014259577,68,6,6.9901748560369015,NA
Eintracht Frankfurt,2017,timing,61-75,65,6,6.795432368759066,62,8,5.66777366399765,NA
Eintracht Frankfurt,2017,timing,76+,79,12,8.040073892101645,85,14,10.754646990448236,NA
Eintracht Frankfurt,2017,shotZone,ownGoals,1,1,1,2,2,2,NA
Eintracht Frankfurt,2017,shotZone,shotOboxTotal,125,3,4.312658207025379,148,4,4.006939846556634,NA
Eintracht Frankfurt,2017,shotZone,shotPenaltyArea,232,29,26.53134700190276,227,31,28.77951498515904,NA
Eintracht Frankfurt,2017,shotZone,shotSixYardBox,30,12,10.678114272654057,24,8,9.021153330802917,NA
Eintracht Frankfurt,2017,attackSpeed,Normal,246,29,26.238842444028705,250,27,28.507753272075206,NA
Eintracht Frankfurt,2017,attackSpeed,Standard,100,13,10.72222164273262,114,15,9.953971359878778,NA
Eintracht Frankfurt,2017,attackSpeed,Fast,29,2,4.184921992942691,23,1,2.8918696977198124,NA
Eintracht Frankfurt,2017,attackSpeed,Slow,13,1,1.3761334018781781,14,2,2.454013832844794,NA
Eintracht Frankfurt,2017,result,MissedShots,146,0,10.577128003817052,148,0,9.68355367379263,NA
Eintracht Frankfurt,2017,result,SavedShot,102,0,10.351949760690331,91,0,10.026994471438229,NA
Eintracht Frankfurt,2017,result,BlockedShot,84,0,4.539692430756986,107,0,7.034824789501727,NA
Eintracht Frankfurt,2017,result,Goal,45,45,15.657350290566683,45,45,15.402067742310464,NA
Eintracht Frankfurt,2017,result,ShotOnPost,11,0,1.3959989957511425,10,0,1.6601674854755402,NA
Eintracht Frankfurt,2016,situation,OpenPlay,276,28,33.32826670212671,238,30,28.668683545663953,NA
Eintracht Frankfurt,2016,situation,FromCorner,54,4,4.272074987180531,55,7,3.3311286428943276,NA
Eintracht Frankfurt,2016,situation,SetPiece,36,2,2.616942505352199,36,3,3.9458273397758603,NA
Eintracht Frankfurt,2016,situation,DirectFreekick,12,0,0.7699221968650818,11,0,0.6677405945956707,NA
Eintracht Frankfurt,2016,situation,Penalty,6,2,4.546661853790283,4,3,3.0311079025268555,NA
Eintracht Frankfurt,2016,formation,4-2-3-1,105,17,13.67008841317147,69,6,7.396482560783625,745
Eintracht Frankfurt,2016,formation,3-4-2-1,75,6,9.09076725365594,82,16,13.771676655858755,648
Eintracht Frankfurt,2016,formation,3-4-1-2,65,1,6.813192245550454,46,2,3.745922802016139,559
Eintracht Frankfurt,2016,formation,3-1-4-2,30,3,3.7805549753829837,58,10,5.74651587754488,365
Eintracht Frankfurt,2016,formation,3-4-3,33,3,2.870570386759937,27,1,2.2799962973222136,278
Eintracht Frankfurt,2016,formation,4-4-2,30,2,4.684481309726834,18,2,1.6235181279480457,187
Eintracht Frankfurt,2016,formation,4-1-2-1-2,14,0,0.7157226987183094,11,1,0.4648167919367552,95
Eintracht Frankfurt,2016,formation,5-3-2,12,2,0.686336001381278,12,1,1.6675845067948103,95
Eintracht Frankfurt,2016,formation,4-1-4-1,7,0,1.1466581001877785,7,2,1.4129104167222977,95
Eintracht Frankfurt,2016,formation,5-4-1,13,2,2.075496860779822,14,2,1.5350639885291457,93
Eintracht Frankfurt,2016,gameState,Goal diff 0,184,17,20.268421807326376,159,23,16.30519744940102,1767
Eintracht Frankfurt,2016,gameState,Goal diff -1,101,9,12.712689771316946,85,10,10.608927391469479,701
Eintracht Frankfurt,2016,gameState,Goal diff +1,59,6,7.880274531431496,54,6,6.521815371699631,425
Eintracht Frankfurt,2016,gameState,Goal diff < -1,32,2,3.4724528468213975,32,3,5.3569060526788235,175
Eintracht Frankfurt,2016,gameState,Goal diff > +1,8,2,1.200029288418591,14,1,0.8516417602077127,92
Eintracht Frankfurt,2016,timing,1-15,55,4,6.219077751971781,45,6,5.380797396413982,NA
